title	date	dept	dept_top
섬유패션산업 발전전략	2018.03.20	산업통상자원부 산업기반실 소재부품정책관 섬유세라믹과	산업통상자원부
문재인정부 정부혁신 종합 추진계획	2018.03.20	행정안전부 정부혁신조직실 혁신기획과	행정안전부
금융분야 데이터활용 및 정보보호 종합방안	2018.03.19	금융위원회 신용정보팀	금융위원회
살생물제관리법 제정	2018.03.18	환경부 생활환경정책실 환경보건정책관 화학물질정책과	환경부
「소프트웨어산업 진흥법」 전면개정 추진	2018.03.16	과학기술정보통신부 정보통신정책실 소프트웨어정책관 소프트웨어정책과	과학기술정보통신부
제2차 장사시설 수급 종합계획(’18~’22)	2018.03.16	보건복지부 인구정책실 노인지원과	보건복지부
IoT 가전산업 발전전략	2018.03.16	산업통상자원부 산업기반실 전자전기과	산업통상자원부
청년 일자리 대책	2018.03.15	기획재정부 경제정책국 종합정책과	기획재정부
제3차 한-미 자유무역협정(FTA) 개정협상	2018.03.14	산업통상자원부 통상정책국 미주통상과	산업통상자원부
산업기술 R&D 혁신방안	2018.03.13	산업통상자원부 산업정책실 산업기술개발과	산업통상자원부
제198차 대외경제장관회의: CPTPP에 대한 대응방안 논의	2018.03.12	기획재정부 대외경제국 대외경제총괄과	기획재정부
2018년 제4차 경제관계장관회의	2018.03.09	기획재정부 정책조정국 정책조정총괄과	기획재정부
구조조정 등에 따른 지역 지원대책	2018.03.08	기획재정부 정책조정국 지역경제정책과	기획재정부
스마트공장 확산 및 고도화 전략	2018.03.08	중소벤처기업부 창업벤처혁신실 기술혁신정책과	중소벤처기업부
제5차 장애인정책 종합계획('2018~2022년)	2018.03.05	보건복지부 장애인정책국 장애인정책과	보건복지부
중소기업 경영애로 극복을 위한 New Start Plan 2018	2018.03.02	관세청	관세청
통화정책방향 : 기준금리 1.50% 유지	2018.02.27	한국은행 통화정책국 정책총괄팀	한국은행
산업혁신운동 2단계 출범	2018.02.26	산업통상자원부 산업정책국 산업일자리혁신과	산업통상자원부
아프리카돼지열병 예방 관리대책	2018.02.23	농림축산식품부 방역정책국 구제역방역과	농림축산식품부
기초생활보장 부정수급 방지를 위한 제도개선 방안	2018.02.23	보건복지부 사회복지정책실 기초생활보장과	보건복지부
제2차 민·군기술협력사업 기본계획	2018.02.23	산업통상자원부 산업기반실 기계로봇과	산업통상자원부
제5차 지방과학기술진흥종합계획(2018~2022)	2018.02.22	과학기술정보통신부 과학기술정책국 과학기술전략과	과학기술정보통신부
제4차 과학기술기본계획(2018~2022)	2018.02.22	과학기술정보통신부 과학기술정책국 과학기술정책과	과학기술정보통신부
스마트 수어방송 상용화 추진계획	2018.02.21	방송통신위원회	방송통신위원회
한-중미 자유무역협정(FTA) 정식서명	2018.02.21	산업통상자원부 통상교섭실 FTA협상총괄과	산업통상자원부
제2차 장기요양 기본계획('18~'22년)	2018.02.12	보건복지부 인구정책실 요양보험제도과	보건복지부
중소기업 기술탈취 근절 대책	2018.02.12	중소벤처기업부 창업벤처혁신실 기술협력보호과	중소벤처기업부
한-스위스 양자간 통화스왑계약 체결	2018.02.09	기획재정부 국제금융국 국제금융과	기획재정부
2017 회계연도 세입세출 및 국가결산	2018.02.09	기획재정부 재정관리국 회계결산과	기획재정부
제2차 노인일자리 및 사회활동 종합계획 (앙코르 라이프 플랜) (2018~2022)	2018.02.09	보건복지부 인구정책실 노인지원과	보건복지부
바이오·헬스산업 발전전략	2018.02.09	산업통상자원부 산업기반실 바이오나노과	산업통상자원부
반도체·디스플레이 산업 발전전략	2018.02.08	산업통상자원부 산업기반실 소재부품정책관 전자부품과	산업통상자원부
지능형 로봇산업 발전전략	2018.02.08	산업통상자원부 산업기반실 시스템산업정책관 기계로봇과	산업통상자원부
부산외곽순환고속도로 개통	2018.02.07	국토교통부 도로국 도로정책과	국토교통부
현장밀착형 규제혁신 추진방안	2018.02.07	기획재정부 정책조정국 기업환경과	기획재정부
2018년 제3차 경제관계장관회의	2018.02.07	기획재정부 정책조정국 산업경제과	기획재정부
서비스 R&D 추진 전략: 서비스산업 혁신Ⅰ	2018.02.07	기획재정부 정책조정국 서비스경제과	기획재정부
농업·농촌 및 식품산업 발전계획(2018~2022)	2018.02.07	농림축산식품부 농촌정책국 농촌정책과	농림축산식품부
제3차 우주개발진흥기본계획(2018~2040)	2018.02.05	과학기술정보통신부 연구개발정책실 거대공공연구정책관 거대공공연구정책과	과학기술정보통신부
혁신형 중견기업 비전 2280 : 중견기업 정책 혁신방안	2018.02.05	산업통상자원부 산업기반실 중견기업정책관 중견기업정책과	산업통상자원부
첨단화학산업 발전전략	2018.02.05	산업통상자원부 산업기반실 철강화학과	산업통상자원부
한국해외인프라·도시개발지원공사(KIND) 설립	2018.02.02	국토교통부 건설정책국 해외건설정책과	국토교통부
미래차 산업 발전전략	2018.02.02	산업통상자원부 산업기반실 시스템산업정책관 자동차항공과	산업통상자원부
자본시장 제재절차 개선방안	2018.02.01	금융위원회 자본시장국 공정시장과	금융위원회
상장회사 주주총회 활성화 방안	2018.02.01	금융위원회 자본시장국 자본시장과	금융위원회
제2차 한-미 자유무역협정(FTA) 개정협상	2018.02.01	산업통상자원부 통상정책국 미주통상과	산업통상자원부
민간중심의 벤처생태계 혁신 대책	2018.02.01	중소벤처기업부 창업벤처혁신실 벤처혁신정책과	중소벤처기업부
2018년 국세행정 운영방안	2018.01.31	국세청	국세청
금융그룹 통합감독제도 도입방안	2018.01.31	금융위원회 금융그룹감독혁신단 감독제도팀	금융위원회
개인신용평가체계 종합 개선방안	2018.01.31	금융위원회 신용정보팀	금융위원회
2018년 공공기관 지정 현황	2018.01.31	기획재정부 공공정책국 제도기획과	기획재정부
제6차 산림기본계획: 2018~2037	2018.01.31	산림청	산림청
I-Korea 4.0: ICT R&D 혁신전략	2018.01.30	과학기술정보통신부 정보통신정책실 정보통신산업정책관 정보통신방송기술정책과	과학기술정보통신부
손해보험산업 혁신·발전방안 1단계: 국민 실생활과 밀착된 보험상품 활성화 방안	2018.01.30	금융위원회 금융서비스국 보험과	금융위원회
스마트시티 추진전략	2018.01.29	국토교통부 국토도시실 도시경제과	국토교통부
채용비리 특별점검 후속조치 및 채용제도 개선방안	2018.01.29	기획재정부 공공정책국 인재경영과	기획재정부
제197차 대외경제장관회의: 한중 경제장관회의 등 양자 경제협력 추진계획	2018.01.29	기획재정부 대외경제국 대외경제총괄과	기획재정부
'18년 농림축산식품부 업무계획	2018.01.29	농림축산식품부 기획조정실 기획재정담담관실	농림축산식품부
공정한 시장경제 확립을 통한 국민 삶의 질 제고	2018.01.26	공정거래위원회 경쟁정책국 경쟁정책과	공정거래위원회
채권은행의 신용위험평가 및 워크아웃 운영 개선방안	2018.01.26	금융감독원 신용감독2팀	금융감독원
2018년 재정 조기집행 계획	2018.01.26	기획재정부 재정관리국 재정집행관리과	기획재정부
2018년 재정집행 계획	2018.01.26	기획재정부 재정관리국 재정집행관리과	기획재정부
I-KOREA 4.0, 과학기술과 ICT로 열어가는 사람 중심 4차 산업혁명 구현	2018.01.24	과학기술정보통신부 기획조정실 기획재정담당관	과학기술정보통신부
철도차량 부품개발 종합계획(2020~2026)	2018.01.24	국토교통부 철도국 철도운행안전과	국토교통부
산업재해 사망사고 감소대책(국민생명 지키기 3대 프로젝트)	2018.01.23	고용노동부 산재예방보상정책국 산재예방정책과	고용노동부
교통안전 종합대책(2018~2022)	2018.01.23	국토교통부 교통물류실 교통안전복지과	국토교통부
자살예방 국가 행동계획	2018.01.23	보건복지부 건강정책국 정신건강정책과	보건복지부
신산업·신기술 분야 규제혁신 추진방안	2018.01.22	국무조정실 규제총괄과	국무조정실
신생아 중환자실 안전관리 단기대책	2018.01.22	보건복지부 보건의료정책실 의료기관정책과	보건복지부
양식분야 기후변화 대응전략	2018.01.22	해양수산부 수산정책실 어촌양식정책과	해양수산부
연구데이터 공유·활용 전략	2018.01.19	과학기술정보통신부 연구개발정책실 기초원천연구정책관 융합기술과	과학기술정보통신부
취약·연체차주 지원방안	2018.01.18	금융위원회 금융정책국 금융정책과	금융위원회
반려견 안전관리 대책	2018.01.18	농림축산식품부 축산정책국 축산환경복지과	농림축산식품부
2018년 제2차 경제관계장관회의	2018.01.17	기획재정부 정책조정국 산업경제과	기획재정부
스마트 철도안전관리체계 기본계획(2018~2027)	2018.01.16	국토교통부 철도국 철도안전정책과	국토교통부
옥산-오창 민자 고속도로 개통	2018.01.12	국토교통부 도로국 도로투자지원과	국토교통부
최고금리 인하에 따른 범부처 보완 방안	2018.01.12	금융위원회 금융소비자국 서민금융과	금융위원회
코스닥시장 활성화를 통한 자본시장 혁신방안	2018.01.11	금융위원회 자본시장국 자본시장과	금융위원회
재정사업 자율평가제도 개편 : 핵심사업 평가제도 도입	2018.01.11	기획재정부 재정관리국 재정관리총괄과	기획재정부
지출구조 혁신 추진방안(지출혁신 1.0)	2018.01.11	기획재정부 재정혁신국 재정전략과	기획재정부
2018년 제1차 경제관계장관회의	2018.01.11	기획재정부 정책조정국 정책조정총괄과	기획재정부
제4차 소비자정책 기본계획(2018~2020) 및 '18년 종합시행계획	2018.01.10	공정거래위원회 소비자정책국 소비자정책과	공정거래위원회
제3차 해외농업자원개발 종합계획: 2018~2022	2018.01.10	농림축산식품부 국제협력국 국제협력총괄과	농림축산식품부
중장기 철도시설 개량투자계획	2018.01.05	국토교통부 철도국 철도시설안전과	국토교통부
`18년 논 타작물 재배 지원 사업(생산조정제) 추진	2018.01.05	농림축산식품부 식량정책관 식량정책과	농림축산식품부
제2차 도시농업 육성 5개년 종합계획 : 2018~2022	2018.01.05	농림축산식품부 식품산업정책실 종자생명산업과	농림축산식품부
바젤III 규제개혁 추진계획	2018.01.04	기획재정부 국제금융협력국 국제통화협력과	기획재정부
'차세대사건처리 및 분쟁조정통합시스템' 개통	2018.01.02	공정거래위원회 기획조정관실 정보화담당관	공정거래위원회
제2차 말산업 육성 종합계획: 2017~2021	2018.01.02	농림축산식품부 축산정책국 축산정책과	농림축산식품부
제3차 항만배후단지개발 종합계획 및 항만별 배후단지개발계획	2018.01.02	해양수산부 항만국 항만정책과	해양수산부
국가필수해운제도(비상사태 등에 대비하기 위한 해운 및 항만 기능 유지에 관한 법률 제정안)	2018.01.02	해양수산부 해운물류국 항만운영과	해양수산부
지하수관리 기본계획 수정계획(2017~2026)	2017.12.31	국토교통부 수자원정책국 수자원개발과	국토교통부
하도급거래 공정화 종합대책	2017.12.29	공정거래위원회 기업거래정책국 기업거래정책과	공정거래위원회
발전촉진형·거점육성형 지역개발계획(2018~2027) : 강원, 경남, 전북, 전남, 충남	2017.12.29	국토교통부 국토도시실 지역정책과	국토교통부
제1차 희귀질환관리 종합계획('17~'21년)	2017.12.29	보건복지부 보건의료정책실 질병정책과	보건복지부
제8차 전력수급기본계획(2017~2031)	2017.12.29	산업통상자원부 에너지자원실 에너지산업정책관 전력산업과	산업통상자원부
2017년 하반기 경쟁제한적 규제 개선방안	2017.12.28	공정거래위원회 시장구조개선정책관 시장구조개선과	공정거래위원회
2020 신산업·생활 주파수 공급 계획	2017.12.28	과학기술정보통신부 전파정책국 주파수정책과	과학기술정보통신부
가상통화 투기근절을 위한 특별대책	2017.12.28	국무조정실 금융정책과	국무조정실
스마트공항 종합계획	2017.12.28	국토교통부 항공정책실 항공정책과	국토교통부
2018년부터 달라지는 금융제도	2017.12.28	금융위원회 금융정책국 금융정책과	금융위원회
2018년도 예산 및 기금운용계획 집행지침 확정·통보	2017.12.28	기획재정부 예산실 예산기준과	기획재정부
제1차 한-미 자유무역협정(FTA) 개정협상	2017.12.28	산업통상자원부 통상정책국 미주통상과	산업통상자원부
식품안전 개선 종합대책	2017.12.27	국무조정실 식품안전관리개선 TF	국무조정실
2018년 경제정책방향	2017.12.27	기획재정부 경제정책국 종합정책과	기획재정부
핀테크 기반 외화환전서비스 도입 방안	2017.12.27	기획재정부 국제금융국 외환제도과	기획재정부
제3차 중장기보육 기본계획('18~'22년)	2017.12.27	보건복지부 인구정책실 보육정책과	보건복지부
제6차 남녀고용평등과 일·가정 양립 기본계획(2018~2022)	2017.12.26	고용노동부 고용정책실 여성고용정책과	고용노동부
현장의 목소리를 담은 여성일자리 대책	2017.12.26	고용노동부 고용정책실 여성고용정책과	고용노동부
2018년도 공공용 주파수 수급 계획	2017.12.26	과학기술정보통신부 전파정책국 주파수정책과	과학기술정보통신부
국민 생활안전 실현을 위한 IP카메라 종합대책	2017.12.26	과학기술정보통신부 정보통신정책실 정보보호정책관 사이버침해대응과	과학기술정보통신부
국민참여예산제도 운영방안	2017.12.26	기획재정부 재정혁신국 참여예산과	기획재정부
`18년도 외국인력 도입·운용계획 및 고용허가제 불법체류·취업 방지방안 등	2017.12.22	고용노동부 기획조정실 외국인력담당관	고용노동부
전문대학 제도 개선 추진 방안	2017.12.22	교육부 대학정책실 전문대학정책과	교육부
드론산업발전 기본계획(2017~2026)	2017.12.21	국토교통부 항공정책실 첨단항공과	국토교통부
청년창업농 육성대책	2017.12.21	농림축산식품부 농촌정책국 경영인력과	농림축산식품부
제3차 고령자 고용촉진 기본계획('17~'21)	2017.12.20	고용노동부 고용정책실	고용노동부
제3차 직업능력개발기본계획(2018~2022)	2017.12.20	고용노동부 직업능력정책국 직업능력정책과	고용노동부
SW산업 육성을 위한 공공SW사업 혁신방안	2017.12.20	과학기술정보통신부 정보통신정책실 소프트웨어정책관 소프트웨어산업과	과학기술정보통신부
대부업 감독 강화 방안	2017.12.20	금융위원회 중소서민금융정책관 서민금융과	금융위원회
2018년 국고채 발행 계획 및 제도개선 방안	2017.12.20	기획재정부 국고국 국채과	기획재정부
2017년 제11차 경제관계장관회의	2017.12.20	기획재정부 정책조정국 정책조정총괄과	기획재정부
재생에너지 3020 이행계획	2017.12.20	산업통상자원부 에너지자원실 에너지자원정책관 신재생에너지과	산업통상자원부
미래원자력기술 발전전략	2017.12.19	과학기술정보통신부 연구개발정책실 거대공공연구정책관 원자력연구개발과	과학기술정보통신부
가상통화 관련 긴급 대책-가상통화거래소에 대한 사이버보안 및 개인정보보호 체계 강화	2017.12.19	과학기술정보통신부 정보통신정책실 정보보호정책관 사이버침해대응과	과학기술정보통신부
제2차 국가 배출권 할당계획('18~'20)	2017.12.19	기획재정부 장기전략국 기후경제과	기획재정부
방송프로그램 외주제작시장 불공정관행 개선 종합대책	2017.12.19	방송통신위원회	방송통신위원회
제2차 지역방송발전지원계획	2017.12.19	방송통신위원회	방송통신위원회
보건산업 혁신성장 전략	2017.12.19	보건복지부 보건산업정책국 보건산업진흥과	보건복지부
제2차 제약산업 및 의료기기·화장품산업 육성·지원 5개년 종합계획(‘17~’22년)	2017.12.19	보건복지부 보건산업정책국 보건산업진흥과	보건복지부
고객중심 조달행정 발전방안	2017.12.19	조달청	조달청
새 정부의 기업구조혁신 지원 방안	2017.12.18	금융위원회 금융정책국 기업구조개선과	금융위원회
새 정부의 산업정책 방향	2017.12.18	산업통상자원부 산업정책실 산업정책관 산업정책과	산업통상자원부
종이없는 사회 실현을 위한 전자문서 이용 활성화 계획	2017.12.14	과학기술정보통신부 정보통신정책실 인터넷융합정책관 정책총괄과	과학기술정보통신부
한-중 FTA 서비스·투자 후속협상: 1차 ~ 8차	2017.12.14	산업통상자원부 통상협력국 동북아통상과	산업통상자원부
세월호 현장수습업무 개선대책	2017.12.14	해양수산부 세월호후속대책추진단 기획총괄과	해양수산부
가상통화 관련 긴급 대책	2017.12.13	국무조정실 금융정책과	국무조정실
신뢰받고 역동적인 자산운용시장 발전방안	2017.12.13	금융위원회 자본시장국 자산운용과	금융위원회
판교 제2테크노밸리 활성화 방안	2017.12.12	중소벤처기업부 벤처혁신기반과	중소벤처기업부
건설산업 일자리 개선대책	2017.12.11	국토교통부 건설정책국 건설정책과	국토교통부
혁신성장 지원 등을 위한 공공조달 혁신방안	2017.12.11	기획재정부 국고국 계약제도과	기획재정부
확대 경제관계장관회의	2017.12.11	기획재정부 정책조정국 정책조정총괄과	기획재정부
바젤Ⅲ 규제개혁 완료	2017.12.08	한국은행 금융안정국 금융규제팀	한국은행
교육환경보호 기본계획 (2018~2022)	2017.12.06	교육부 학교정책실 학생건강정책과	교육부
제3차 물류시설개발종합계획(2018~2022)	2017.12.06	국토해양부 물류항만실 물류시설정보과	국토해양부
“내 삶을 바꾸는” 2018년도 예산	2017.12.06	기획재정부 예산실 예산총괄과	기획재정부
대한민국 연구안전 2.0: 제3차 연구실 안전 환경 조성 기본계획(2018~2022)	2017.12.05	과학기술정보통신부 미래인재정책국 연구환경안전팀	과학기술정보통신부
2017년도 세법개정안 국회 본회의 통과	2017.12.05	기획재정부 세제실 조세정책과	기획재정부
유망 신산업 표준화 로드맵	2017.12.02	산업통상자원부 국가기술표준원	산업통상자원부
혁신성장을 위한 사람 중심의 4차 산업혁명 대응계획	2017.11.30	과학기술정보통신부 정보통신정책실 인터넷융합정책관 정책총괄과	과학기술정보통신부
새 정부의 고등교육정책 추진방향	2017.11.30	교육부 대학정책실 대학정책과	교육부
통화정책방향 : 기준금리 1.25%에서 1.50%로 상향조정	2017.11.30	한국은행 통화정책국 정책총괄팀	한국은행
사회통합형 주거사다리 구축을 위한 「주거복지로드맵」	2017.11.29	국토교통부 주택토지실 주택정책과	국토교통부
장기소액연체자 지원 대책	2017.11.29	금융위원회 중소서민금융정책관 서민금융과	금융위원회
석유제품 유통 투명성 제고방안	2017.11.29	기획재정부 정채조정국 정책조정총괄과	기획재정부
2017년 제9차 경제관계장관회의	2017.11.29	기획재정부 정책조정국 정책조정총괄과	기획재정부
제2차 뿌리산업 진흥 기본계획: 2018~2022	2017.11.29	산업통상자원부 산업기반실 산업기반총괄과	산업통상자원부
보험가입자의 권익제고를 위한 알릴의무 제도 개선	2017.11.28	금융감독원 보험감리실	금융감독원
종교인소득 과세제도 보완방안	2017.11.27	기획재정부 세세실 소득세제과	기획재정부
포항 지진 피해 납세자에 대한 세정지원	2017.11.16	국세청	국세청
타워크레인 중대재해 예방대책	2017.11.16	국토교통부 건설정책국 건설산업과	국토교통부
직장 내 성희롱·성폭력 근절 대책	2017.11.15	고용노동부 고용정책실 여성고용정책과	고용노동부
R&D 과제 기획/선정/평가/보상 프로세스 혁신방안	2017.11.15	과학기술정보통신부 연구개발정책실 기초원천연구정책관 연구개발정책과	과학기술정보통신부
2017년 제8차 경제관계장관회의	2017.11.09	기획재정부 정책조정국 정책조정총괄과	기획재정부
농지연금 신상품 출시 및 제도개선	2017.11.09	농림축산식품부 농업정책국 농지과	농림축산식품부
국채시장의 안정적 관리를 위한 제도 개선 추진	2017.11.08	기획재정부 국고국 국채과	기획재정부
제196차 대외경제장관회의 : 한미 FTA 개정 추진계획	2017.11.06	기획재정부 대외경제국 대외경제총괄과	기획재정부
제195차 대외경제장관회의: 최근 국제금융시장 동향	2017.11.03	기획재정부 대외경제국 대외경제총괄과	기획재정부
제3차 제품안전관리 종합계획	2017.11.02	국가기술표준원 제품안전정책국 제품안전정책과	국가기술표준원
혁신창업 생태계 조성방안	2017.11.02	금융위원회 금융정책국 산업금융과	금융위원회
한국형 메이커 스페이스 활성화 방안	2017.11.02	중소벤처기업부 창업생태계조성과	중소벤처기업부
혁신성장동력 추진전략	2017.10.30	과학기술정보통신부 과학기술정책국 성장동력기획과	과학기술정보통신부
가계부채 종합대책	2017.10.24	기획재정부 경제정책국 자금시장과	기획재정부
공익법인회계기준 제정안 마련	2017.10.24	기획재정부 세제실 재산세제과	기획재정부
신고리 5·6호기 공사재개 후속조치 및 에너지전환(탈원전) 로드맵 수립	2017.10.24	산업통상자원부 원전산업정책과	산업통상자원부
궐련형 전자담배 매점매석 방지대책	2017.10.22	기획재정부 국고국 출자관리과	기획재정부
'17~'21년 국가재정운용계획	2017.10.19	기획재정부 재정혁신국 재정전략과	기획재정부
통화정책방향 : 기준금리 1.25% 유지	2017.10.19	한국은행 통화정책국 정책총괄팀	한국은행
사회적경제 활성화 방안	2017.10.18	기획재정부 사회적경제과	기획재정부
일자리 정책 5년 로드맵	2017.10.18	기획재정부 장기전략국 사회적 경제과	기획재정부
금융중심지의 조성과 발전에 관한 기본계획 (2017~2019)	2017.10.12	금융위원회 금융정책국 국제협력팀	금융위원회
중소·중견 면세점 지원방안	2017.10.11	관세청	관세청
농업직불금 부당수령 예방대책	2017.10.11	농림축산식품부 농업정책국 농가소득안정추진단	농림축산식품부
대기업집단 계열분리제도 개선	2017.10.10	공정거래위원회 기업집단국 기업집단정책과	공정거래위원회
제194차 대외경제장관회의 : 한미 FTA 제2차 공동위원회 특별회기 대응전략	2017.10.02	기획재정부 대외경제국 대외경제총괄과	기획재정부
건강보험 보장성 강화와 연계한 실손의료보험 개선	2017.09.29	금융위원회 금융서비스국 보험과	금융위원회
제3차 생명공학육성기본계획(2017~2026) : 바이오 경제혁신전략 2025	2017.09.28	교육부 대학정책실 학술진흥과	교육부
지체상금률 인하 등 조달제도 개선을 통해 경제활성화를 지원	2017.09.28	기획재정부 국고국 계약제도과	기획재정부
정부, 노후청사 복합개발 선도사업지 선정·발표	2017.09.28	기획재정부 국고국 국유재산조정과	기획재정부
사람 중심의 경제구현을 위한 재정혁신	2017.09.28	기획재정부 재정혁신국 재정전략과	기획재정부
2017년 제6차 경제관계장관회의	2017.09.28	기획재정부 정책조정국 정책조정총괄과	기획재정부
재정을 통한 일자리·소득 지원 방안	2017.09.28	기획재정부 정책조정국 정책조정총괄과	기획재정부
`17년도 구제역·AI 특별방역대책	2017.09.28	농림축산식품부 방역정책국 구제역방역과	농림축산식품부
`17년 수확기 쌀 수급안정 대책	2017.09.28	농림축산식품부 식량정책관 식량정책과	농림축산식품부
보행안전 종합대책	2017.09.26	행정안전부 안전정책실 생활안전정책관 안전개선과	행정안전부
도시재생 뉴딜정책 : 시범사업 선정계획 및 '16년 선정지역의 활성화계획 심의·의결	2017.09.25	국토교통부 도시재생사업기획단 기획총괄과	국토교통부
장애인 안전 종합대책	2017.09.25	행정안전부 안전정책실 생활안전정책관 안전개선과	행정안전부
석면 안전관리 개선대책	2017.09.21	국무조정실	국무조정실
기초노령연금 지급정지 제도 시행	2017.09.21	보건복지부 연금정책국 국민연금정책과	보건복지부
축산계열화 사업분야 불공정 관행 근절 대책	2017.09.20	농림축산식품부 축산정책국 축산경영과	농림축산식품부
치매 국가책임제 추진계획	2017.09.18	보건복지부 인구정책실 치매 정책과	보건복지부
가동원전의 안전성 확보 대책	2017.09.18	산업통상자원부 에너지자원실 원전산업정책관 원전산업관리과	산업통상자원부
수돗물 안전관리 강화 대책	2017.09.14	환경부 물환경정책국 수도정책과	환경부
조경진흥기본계획(2017~2021)	2017.09.13	국토교통부 국토도시실 녹색도시과	국토교통부
김 산업 발전방안	2017.09.12	해양수산부 수산정책실 수출가공진흥과	해양수산부
금융회사의 자금세탁방지 내부통제 강화	2017.09.11	금융위원회 금융정보분석원 기획협력팀	금융위원회
‘빚 권하는 관행’ 개선을 위한 대출모집인 및 대부업 광고 규제 강화방안	2017.09.11	금융위원회 중소서민금융정책관 금융소비자과	금융위원회
한-ASEAN FTA 추가자유화	2017.09.11	산업통상자원부 통상협력국 아주통상과	산업통상자원부
장애인 금융이용 제약 해소방안	2017.09.07	금융위원회 중소서민금융정책관 금융소비자과	금융위원회
조류인플루엔자(AI) 방역 종합대책	2017.09.07	기획재정부 예산실 농림해양예산과	기획재정부
공공조달을 통한 국정과제(일자리 정책) 지원계획	2017.09.06	조달청	조달청
가상통화 현황 및 대응방향	2017.09.04	금융위원회 금융서비스국 전자금융과	금융위원회
2017년 제5차 경제관계장관회의	2017.09.01	기획재정부 정책조정국 정책조정총괄과	기획재정부
카셰어링 안전관리 강화 방안	2017.08.31	국토교통부 교통물류실 신교통개발과	국토교통부
’17~’21년 공공기관 중장기 재무관리계획	2017.08.30	기획재정부 공공정책국 재무경영과	기획재정부
2017년 중장기 조세정책 운용계획	2017.08.29	기획재정부 세제실 조세분석과	기획재정부
교육자치 및 학교자율화 추진 계획 / 교육자치 정책 로드맵	2017.08.28	교육부 지방교육지원국 교육자치강화지원팀 	교육부
단말기유통구조 개선 대책 및 데이터 로밍 요금 개선 방안	2017.08.25	방송통신위원회	방송통신위원회
공매도 제도 개선방안	2017.08.24	금융위원회 자본시장국 자본시장과	금융위원회
사회적 가치 실현 등을 위한 새정부 국유재산 정책방향(안)	2017.08.24	기획재정부 국고국 국유재산정책과	기획재정부
2017년 제4차 경제관계장관회의	2017.08.24	기획재정부 정책조정국 정책조정총괄과	기획재정부
가뭄대응 종합대책	2017.08.24	헹정안전부 재난관리실 재난대응정책관 자연재난대응과	헹정안전부
철도안전 운행 및 작업자 안전확보 대책	2017.08.22	국토교통부 철도국 철도안전정책과	국토교통부
한-미 FTA 공동위원회 특별회기	2017.08.18	산업통상자원부 통상정책국 미주통상과	산업통상자원부
중소기업 청년 추가고용 장려금(2+1) 지원사업 시행	2017.08.17	고용노동부 고용정책실 청년고용기획과	고용노동부
중대 산업재해 예방대책	2017.08.17	고용노동부 노동정책실 산재예방정책과	고용노동부
유통분야 불공정관행 근절대책	2017.08.14	공정거래위원회 기업거래정책국 유통거래과	공정거래위원회
신규제작자동차 실내 공기질 관리기준 강화	2017.08.14	국토교통부 교통물류실 첨단자동차기술과	국토교통부
경제 및 재정여건 변화에 부합하도록 예비타당성조사제도 개편	2017.08.11	기획재정부 재정관리국 타당성심사과	기획재정부
“모든 국민의 기본생활 보장” 제1차 기초생활보장 종합계획(’18~’20년)	2017.08.11	보건복지부 사회복지정책실 기초생활보장과	보건복지부
'신중년 인생 3모작 기반구축 계획' 발표	2017.08.09	고용노동부 고용정책실 고령사회인력정책과	고용노동부
2017년 제3차 경제관계장관회의	2017.08.09	기획재정부 정책조정국 정책조정총괄과	기획재정부
건강보험 보장성 강화대책	2017.08.09	보건복지부 건강보험정책국 보험정책과	보건복지부
가습기살균제 피해 특별구제 본격 추진	2017.08.09	환경부 환경정책실 환경보건관리과	환경부
고층건축물 화재안전대책 심의·확정	2017.08.03	국토교통부 국토도시실 건축정책과	국토교통부
실수요 보호와 단기 투기수요 억제를 통한 주택시장 안정화 방안(8.2 부동산대책)	2017.08.02	국토교통부 주택토지실 주택정책과	국토교통부
「주택시장 안정화 방안(8.2)」에 따른 금융규제 강화 방안	2017.08.02	금융위원회	금융위원회
2017년 세법개정(안)	2017.08.02	기획재정부 세제실 조세정책과	기획재정부
가맹분야 불공정관행 근절대책	2017.07.27	공정거래위원회 기업거래정책국 가맹거래과	공정거래위원회
2017년 상반기 경쟁제한적 규제 개선방안	2017.07.27	공정거래위원회 시장구조개선정책관 시장구조개선과	공정거래위원회
사업용 차량 졸음운전 방지대책	2017.07.27	국토교통부 교통물류실 대중교통과	국토교통부
새정부 경제정책방향 : 경제 패러다임의 전환	2017.07.25	기획재정부 경제정책국 종합정책과	기획재정부
신고리 5.6호기 공론화위원회 구성 추진	2017.07.24	신고리 5.6호기 공론화지원단	신고리
공공부문 비정규직 근로자 정규직 전환 추진계획	2017.07.20	고용노동부 노동정책실 공공기관노사관계과	고용노동부
집중호우 피해 납세자에 대한 세정지원	2017.07.17	국세청	국세청
2018년 최저임금안 심의·의결	2017.07.17	최저임금심의위원회	최저임금심의위원회
2017년 제1차 경제관계장관회의	2017.07.16	기획재정부 정책조정국 정책조정총괄과	기획재정부
최저임금 인상에 대응한 소상공인, 영세중소기업 지원대책	2017.07.16	중소벤처기업부 소상공인정책과	중소벤처기업부
공사중단 장기방치 건축물에 대한 선도사업계획 수립	2017.07.13	국토교통부 국토도시실 건축정책과	국토교통부
수도권 전철 급행화 추진방안	2017.07.07	국토교통부 철도국 철도운영과	국토교통부
공공부문 블라인드 채용 추진방안	2017.07.06	고용노동부 직업능력정책국 직업능력평가과	고용노동부
