title	date	dept	dept_top
제5차 민생경제점검회의: 신학기 교육개혁 상황 점검 및 향후 추진방안	2025.03.10	기획재정부 경제구조개혁국 경제구조개혁총괄과	기획재정부
외환수급 개선을 위한 추가방안	2025.03.09	기획재정부 국제금융국 국제금융과	기획재정부
2025 의학교육 지원방안	2025.03.07	교육부 인재정책실 의대교육지원관 의대교육기반과	교육부
자금세탁방지 관련 2025년도 교육운영방향	2025.03.07	금융위원회 금융정보분석원 제도운영과	금융위원회
제53차 경제관계차관회의 겸 물가관계차관회의 겸 민생경제점검 TF	2025.03.07	기획재정부 경제정책국 정책기획과	기획재정부
2025년 사이버대학 디지털 교육환경 고도화 지원사업 기본계획(안)	2025.03.06	교육부 인재정책실 평생직업교육정책관 평생직업교육기획과	교육부
제30차 외국인정책위원회: 2025년 외국인정책 시행계획, 경제성장과 지역상생을 위한 비자제도 개선 방안, 이민자의 다양한 수요를 반영한 사회통합교육 개선 방안, 외국인 요양보호사 양성·도입방안	2025.03.05	국무조정실	국무조정실
2025년도 보험감독 업무계획	2025.03.05	금융감독원 보험총괄팀	금융감독원
2025년 중소금융 감독 방향 및 추진계획	2025.03.05	금융감독원 중소금융감독국 중소금융총괄팀	금융감독원
국정현안관계장관회의 겸 경제관계장관회의 겸 산업경쟁력강화 관계장관회의: 첨단전략산업기금 신설 방안 등	2025.03.05	기획재정부 정책조정국 정책조정총괄과	기획재정부
2025년 금융소비자보호 부문 주요업무 추진계획	2025.03.04	금융감독원 금융소비자보호총괄국 소비자보호총괄팀	금융감독원
중장기 가축방역 발전 대책	2025.03.04	농림축산식품부 방역정책국 방역정책과	농림축산식품부
건설현장 추락사고 예방 대책	2025.02.28	국토교통부 건설정책국 기술안전정책관 건설안전과	국토교통부
서민금융지원 강화 방안	2025.02.28	기획재정부 경제정책국 자금시장과	기획재정부
제3차 동물복지 종합계획(2025~2029)	2025.02.28	농림축산식품부 동물복지환경정책관 동물복지정책과	농림축산식품부
럼피스킨 중장기 방역관리 개선대책	2025.02.28	농림축산식품부 방역정책국 구제역방역과	농림축산식품부
제5차 건설근로자 고용개선 기본계획(2025∼2029)	2025.02.27	고용노동부 고용정책실 노동시장정책관 고용정책총괄과	고용노동부
홍콩 H지수 ELS 현황 및 대책	2025.02.27	금융위원회 금융소비자정책과	금융위원회
2025년도 가계부채 관리방안	2025.02.27	금융위원회 금융정책국 금융정책과	금융위원회
2025년~2027년 대외경제협력기금 중기운용방향	2025.02.27	기획재정부 개발금융국 개발전략과	기획재정부
제6차 집단에너지 공급 기본계획(2024~2028)	2025.02.27	산업통상자원부 에너지정책실 전력정책관 신산업분산에너지과	산업통상자원부
자동차보험 부정수급 개선 대책	2025.02.26	국토교통부 모빌리티자동차국 자동차운영보험과	국토교통부
[산업·발전 부문]온실가스 국제감축사업 개편 방안	2025.02.26	산업통상자원부 무역투자실 투자정책관 투자정책과 온실가스국제감축팀	산업통상자원부
2025년 사업장 감독계획	2025.02.25	고용노동부 노동정책실 근로기준정책관 근로감독기획과	고용노동부
국정현안관계장관회의 겸 경제관계장관회의	2025.02.25	기획재정부 정책조정국 정책조정총괄과	기획재정부
지역투자 활성화 방안	2025.02.25	기획재정부 정책조정국 지역경제정책과	기획재정부
통화정책방향: 기준금리 3.00%에서 2.75%로 하향조정	2025.02.25	한국은행 통화정책국 정책총괄팀	한국은행
농촌소멸 대응전략 추진상황 및 향후 계획	2025.02.24	농림축산식품부 농촌정책국 농촌정책과	농림축산식품부
제11차 전력수급기본계획	2025.02.21	산업통상자원부 에너지정책실 전력정책관 전력산업정책과	산업통상자원부
2025년 인공지능 이용권(AI 바우처)·고성능 컴퓨팅 지원사업	2025.02.20	과학기술정보통신부 인공지능기반정책관 인터넷진흥과	과학기술정보통신부
AI컴퓨팅 인프라 확충을 통한 국가AI역량 강화방안	2025.02.20	과학기술정보통신부 정보통신정책총괄과	과학기술정보통신부
2025년 대학 중심의 평생학습 온라인 공개강좌 활성화 기본계획(안)	2025.02.20	교육부 인재정책실 평생직업교육정책관 평생직업교육기획과	교육부
AI 스타트업 육성을 통한 AI 활용확산 방안	2025.02.20	중소벤처기업부 중소기업정책실 미래기술대응지원단	중소벤처기업부
지역 건설경기 보완방안	2025.02.19	국토교통부 기획조정실 기획담당관	국토교통부
미래세대 비전 및 중장기 전략	2025.02.19	기획재정부 미래전략국 미래전략과	기획재정부
제3차 식품등의 기준 및 규격 관리 기본계획	2025.02.19	식품의약품안전처 식품안전정책국 식품기준기획관 식품기준과	식품의약품안전처
제6차 수출전략회의	2025.02.18	기획재정부 정책조정국 정책조정총괄과	기획재정부
케이-푸드 플러스 (K-Food＋) 수출확대 전략	2025.02.18	농림축산식품부 식품산업정책실 식품산업정책관	농림축산식품부
범부처 비상수출 대책	2025.02.18	산업통상자원부 무역투자실 무역정책관 무역정책과	산업통상자원부
2025년 중소·벤처기업 수출지원 방안	2025.02.18	중소벤처기업부 중소기업정책실 글로벌성장정책관 글로벌성장정책과	중소벤처기업부
2025년 수산식품 수출전략	2025.02.18	해양수산부 수산정책실 수산정책관 수출가공진흥과	해양수산부
법인의 가상자산시장 참여 로드맵	2025.02.14	금융위원회 가상자산과	금융위원회
2025년 국가보행안전 및 편의증진 실행계획	2025.02.12	국토교통부 교통물류실 교통안전정책	국토교통부
국정현안관계장관회의 겸 경제관계장관회의: 연기금투자풀 제도 개편 방안	2025.02.12	기획재정부 재정관리국 재정관리총괄과	기획재정부
국정현안관계장관회의 겸 경제관계장관회의 겸 산업경쟁력강화 관계장관회의	2025.02.12	기획재정부 정책조정국 정책조정총괄과	기획재정부
