6.0736856	8.197118	1.2863691
6.169922	9.029451	0.1900037
6.8575068	10.608545	0.27884862
7.5180993	12.351243	-0.135515
6.5990357	8.999918	0.27792537
6.6949253	9.08981	0.5880989
6.7478957	10.149142	-0.18139786
6.494091	8.3496065	2.358542
6.6435146	8.986344	0.4466799
6.3809257	9.025649	0.14235233
6.638417	9.0065	0.32719406
6.5862374	9.025166	0.24183418
6.606529	9.256927	0.31871003
6.3683686	8.37604	2.238336
6.5805507	8.9528885	0.23686515
10.070927	9.692505	0.35485187
9.892367	9.741536	0.4262288
6.6932125	10.034988	-0.20325015
7.636878	7.5577855	-2.5969532
6.9562035	8.50113	2.6131346
7.3786836	10.04504	-0.33920833
6.556943	8.80679	0.29365405
6.616458	8.679646	0.40795013
6.124545	9.1545315	0.08672135
6.2577353	8.322822	2.2768464
7.1237907	8.581417	0.17514095
7.0423646	8.739815	0.18989916
6.0558248	9.183819	0.01948374
6.7529078	10.138404	-0.16486564
6.124872	9.176813	0.08774256
6.1257915	9.328169	-0.071215115
7.0015097	10.27583	-0.32100075
6.1027513	9.168589	0.0338452
6.091525	9.096341	0.123442635
6.0553284	9.09941	0.09739613
6.01334	9.065973	0.13111886
6.083181	9.061139	0.14035477
5.994291	9.054651	0.15472335
6.0594864	9.04939	0.16348772
6.276536	9.040302	0.28975704
6.8338914	9.254053	0.3364419
6.554868	9.661963	-0.20793234
6.2858195	9.110693	0.05671012
6.816904	10.168797	-0.260127
6.4710217	9.703909	-0.20118685
6.1982617	8.549703	2.0898576
6.947013	10.259366	-0.21514384
6.7154055	9.98605	-0.26215452
6.2892866	8.617675	2.4159052
6.8112235	10.37608	-0.029379258
8.865451	6.623497	1.8247131
6.3403544	8.571394	2.2722216
6.0551043	10.184241	2.0056086
6.694742	9.931225	-0.18378347
6.818728	9.73755	0.027620705
6.948738	9.022823	0.59767634
6.6927586	9.856029	-1.0413827
8.252177	8.857178	1.2875993
7.260687	8.798255	0.28632233
8.332427	8.950218	1.157494
7.5337615	9.432539	1.8646263
7.3160644	11.097673	1.331178
8.085304	8.815795	1.3094089
6.9141684	8.374363	1.8894794
8.07279	8.804949	1.3217785
7.0881224	10.964721	1.4168103
8.346397	9.020621	0.9565369
6.684812	9.842901	-1.0530968
8.425074	8.85965	1.150345
7.9311523	9.025511	1.5018364
6.6657944	9.853643	-1.1399564
6.1362033	10.349146	1.9076115
6.668911	9.856073	-1.0844717
7.412008	7.9262466	0.26527977
9.441858	9.239412	2.175471
6.1746616	8.609098	1.169533
7.554487	9.694042	1.5639678
7.5617023	9.738152	1.5225345
6.4390607	8.872868	1.5819424
8.055592	9.047728	0.9952158
7.8607874	8.658897	1.2431664
8.559394	8.988691	1.0878506
6.6063633	9.978449	-0.09948871
8.328597	8.967052	1.088049
8.626683	6.540202	2.0699866
7.4729834	9.705159	1.572469
7.794441	9.246643	1.7099284
6.468734	7.271974	2.6261826
7.435237	7.992483	1.1350136
